0,0.59,02597.00,188
1,1.25,02658.00,188
2,1.91,02688.00,188
3,358.36,04620.00,188
4,359.02,04616.00,188
5,359.68,04637.00,188
6,0.55,02573.00,188
7,1.26,02648.00,188
8,1.96,02686.00,188
9,358.20,04615.00,188
10,358.90,04618.00,188
11,359.60,04636.00,188
12,0.03,04615.00,188
13,1.02,02598.00,188
14,1.76,02692.00,188
15,358.56,04593.00,188
16,359.29,04585.00,188
17,0.29,04643.00,188
18,1.31,02652.00,188
19,358.74,04590.00,188
20,359.52,04585.00,188
21,0.89,02598.00,188
22,1.69,02705.00,188
23,358.23,04585.00,188
24,359.03,04609.00,188
25,359.84,04610.00,188
26,0.93,02600.00,188
27,1.76,02696.00,188
28,358.18,04618.00,188
29,359.01,04623.00,188
30,359.85,04605.00,188
31,1.03,02597.00,188
32,1.88,02689.00,188
33,358.19,04614.00,188
34,359.06,04589.00,188
35,359.91,04616.00,188
36,0.37,04610.00,188
37,1.51,02730.00,188
38,358.60,04579.00,188
39,359.49,04613.00,188
40,0.93,02599.00,188
41,1.84,02698.00,188
42,358.86,04584.00,188
43,359.77,04615.00,188
44,0.81,02598.00,188
45,1.74,02719.00,188
46,358.71,04580.00,188
47,359.64,04623.00,188
48,0.33,04631.00,188
49,1.52,02732.00,188
50,358.43,04581.00,188
51,359.38,04612.00,188
52,1.65,02730.00,188
53,358.52,04582.00,188
54,359.48,04616.00,188
55,1.74,02727.00,188
56,358.55,04580.00,188
57,359.53,04619.00,188
58,0.37,04595.00,188
59,1.61,02738.00,188
60,358.38,04605.00,188
61,359.37,04606.00,188
62,1.12,02598.00,188
63,358.85,04616.00,188
64,359.86,04580.00,188
65,0.00,04586.00,188
66,1.27,02601.00,188
67,358.98,04616.00,188
68,0.23,04629.00,188
69,1.51,02700.00,188
70,358.16,04581.00,188
71,359.19,04609.00,188
72,1.15,02601.00,188
73,358.82,04587.00,188
74,359.86,04614.00,188
75,0.36,04630.00,188
76,1.66,02735.00,188
77,358.26,04590.00,188
78,359.31,04605.00,188
79,0.23,04587.00,188
80,1.53,02704.00,188
81,358.11,04577.00,188
82,359.17,04613.00,188
83,0.10,04624.00,188
84,1.42,02618.00,188
85,359.04,04622.00,188
86,1.03,02600.00,188
87,358.64,04580.00,188
88,359.71,04579.00,188
89,0.28,04629.00,188
90,1.61,02734.00,188
91,358.12,04580.00,188
92,359.20,04615.00,188
93,1.31,02604.00,188
94,358.88,04611.00,188
95,359.97,04590.00,188
96,0.35,04615.00,188
97,1.69,02732.00,188
98,358.15,04569.00,188
99,359.25,04601.00,188
100,1.16,02597.00,188
101,358.71,04570.00,188
102,359.81,04580.00,188
103,0.12,04584.00,188
104,1.48,02659.00,188
105,359.01,04611.00,188
106,1.35,02602.00,188
107,358.87,04606.00,188
108,359.98,04582.00,188
109,0.16,04601.00,188
110,1.53,02694.00,188
111,359.04,04586.00,188
112,0.88,02600.00,188
113,358.39,04613.00,188
114,359.51,04618.00,188
115,0.02,04575.00,188
116,1.39,02604.00,188
117,358.89,04610.00,188
118,0.38,04624.00,188
119,1.76,02732.00,188
120,358.13,04591.00,188
121,359.25,04620.00,188
122,1.92,02698.00,188
123,358.28,04583.00,188
124,359.41,04602.00,188
125,0.34,04617.00,188
126,1.72,02734.00,188
127,358.07,04578.00,188
128,359.20,04615.00,188
129,1.35,02600.00,188
130,358.82,04576.00,188
131,359.96,04588.00,188
132,1.99,02691.00,188
133,358.32,04574.00,188
134,359.46,04618.00,188
135,1.10,02600.00,188
136,358.57,04579.00,188
137,359.71,04577.00,188
138,0.91,02601.00,188
139,358.37,04618.00,188
140,359.51,04596.00,188
141,1.32,02599.00,188
142,358.78,04578.00,188
143,359.92,04584.00,188
144,1.05,02599.00,188
145,358.51,04585.00,188
146,359.65,04595.00,188
147,1.28,02601.00,188
148,358.73,04621.00,188
149,359.88,04616.00,188
150,0.42,04615.00,188
151,1.82,02728.00,188
152,358.12,04587.00,188
153,359.27,04622.00,188
154,0.21,04609.00,188
155,1.61,02726.00,188
156,359.06,04589.00,188
157,0.34,04625.00,188
158,1.74,02735.00,188
159,358.03,04616.00,188
160,359.19,04618.00,188
161,0.92,02599.00,188
162,358.36,04595.00,188
163,359.52,04576.00,188
164,1.40,02600.00,188
165,358.84,04605.00,188
166,359.99,04620.00,188
167,0.93,02601.00,188
168,358.37,04609.00,188
169,359.53,04583.00,188
170,0.35,04624.00,188
171,1.75,02732.00,188
172,358.04,04604.00,188
173,359.20,04610.00,188
174,0.16,04626.00,188
175,1.56,02692.00,188
176,359.01,04595.00,188
177,0.08,04618.00,188
178,1.48,02619.00,188
179,358.92,04606.00,188
180,0.02,04610.00,188
181,1.42,02603.00,188
182,358.86,04579.00,188
183,0.13,04616.00,188
184,1.54,02689.00,188
185,358.98,04613.00,188
186,0.34,04616.00,188
187,1.74,02734.00,188
188,358.02,04611.00,188
189,359.18,04617.00,188
190,1.93,02701.00,188
191,358.21,04615.00,188
192,359.37,04618.00,188
193,0.91,02598.00,188
194,358.35,04607.00,188
195,359.51,04606.00,188
196,1.13,02598.00,188
197,358.57,04575.00,188
198,359.73,04579.00,188
199,0.01,04596.00,188
200,1.42,02599.00,188
201,358.86,04619.00,188
202,0.29,04625.00,188
203,1.70,02735.00,188
204,359.13,04628.00,188
205,1.96,02697.00,188
206,358.24,04619.00,188
207,359.40,04584.00,188
